w360	t186849	4
w43	t174611	5
w1040	t198665	3
w618	t63171	5
w98	t141574	5
w1239	t9542	5
w191	t256773	5
w486	t354765	3
w1076	t28768	5
w62	t301645	5
w883	t181835	5
w534	t128677	5
w49	t282762	5
w754	t13131	3
w1182	t292352	5
w1102	t304875	2
w711	t277222	3
w43	t134938	5
w43	t268009	1
w978	t126090	3
w253	t139274	3
w3	t148840	4
w747	t294094	5
w958	t159771	3
w212	t30648	3
w1011	t65810	5
w47	t294719	3
w1230	t281320	5
w1077	t363468	3
w43	t235298	5
w711	t10044	5
w814	t132999	3
w1034	t234755	5
w1092	t18353	5
w497	t128033	3
w47	t286947	4
w49	t348536	4
w818	t246103	4
w955	t148766	3
w112	t167947	5
w985	t145145	5
w613	t336402	5
w993	t359205	3
w372	t158362	5
w344	t96295	3
w410	t321291	2
w826	t197241	5
w525	t258479	5
w413	t190893	4
w127	t50428	5
w172	t69717	5
w418	t241101	5
w1247	t80715	5
w1169	t88401	4
w1020	t33814	3
w633	t10507	3
w341	t216658	3
w818	t322633	4
w976	t213752	4
w1126	t37371	5
w441	t41778	3
w703	t229131	5
w895	t56360	4
w413	t243713	3
w850	t171065	4
w582	t157378	3
w127	t28258	4
w696	t156171	5
w619	t359614	3
w613	t37511	4
w1172	t187405	5
w755	t121382	5
w1214	t55797	5
w572	t261925	5
w127	t302777	3
w765	t112483	5
w746	t353664	3
w851	t225043	3
w508	t144326	5
w502	t96192	3
w1125	t351680	5
w1125	t319641	5
w172	t216040	3
w466	t283446	3
w63	t284386	3
w1077	t92092	5
w3	t74665	4
w737	t337313	3
w920	t342868	3
w797	t259417	5
w490	t247008	3
w226	t221521	4
w60	t179625	5
w570	t72627	5
w228	t24037	4
w706	t57048	5
w934	t276390	5
w1240	t44851	5
w19	t361151	3
w5	t307827	5
w3	t345882	3
w912	t214345	5
w1100	t53639	1
w952	t193858	3
w158	t252889	5
w672	t329553	5
w746	t92043	3
w1172	t263710	5
w618	t108947	3
w110	t59643	5
w1189	t259770	5
w93	t170051	2
w765	t180069	5
w41	t97935	3
w846	t88738	3
w1162	t5332	5
w153	t285829	5
w788	t258126	3
w575	t223641	5
w1210	t148795	5
w321	t91773	3
w1009	t185607	3
w472	t195998	3
w127	t353177	4
w1159	t62821	5
w1222	t289592	4
w792	t308050	3
w1169	t304551	3
w127	t337813	3
w1059	t218806	5
w709	t162879	4
w896	t232929	3
w47	t304358	1
w268	t234863	1
w862	t21599	2
w599	t13292	3
w633	t97804	3
w477	t61995	3
w226	t67971	4
w765	t214643	1
w55	t92399	5
w1061	t67059	3
w226	t29921	5
w47	t358848	1
w877	t167509	1
w130	t149499	5
w814	t211802	4
w1123	t193812	3
w246	t311185	4
w866	t103812	5
w1136	t307084	5
w359	t38366	5
w1240	t233843	5
w618	t193878	3
w1031	t259544	5
w972	t216957	3
w97	t356838	5
w426	t130260	5
w824	t344468	3
w49	t329690	3
w829	t183261	3
w49	t181692	5
w409	t350572	3
w765	t189074	4
w15	t353050	3
w511	t282730	4
w76	t83296	4
w1179	t188989	5
w1092	t28910	5
w157	t86112	3
w1064	t247269	5
w117	t199544	1
w475	t355584	4
w1097	t52924	5
w875	t300039	4
w1098	t179683	3
w130	t314530	5
w641	t117910	5
w270	t143908	3
w619	t312323	3
w82	t139780	4
w157	t57863	5
w413	t27986	5
w1030	t50905	5
w127	t334559	4
w767	t91480	2
w127	t255890	5
w1032	t126076	5
w562	t276662	3
w618	t300311	3
w641	t32097	3
w807	t136465	1
w55	t39144	3
w47	t301089	3
w157	t338125	5
w1213	t110250	5
w54	t268194	3
w363	t334221	3
w1004	t165340	3
w524	t228437	3
w212	t122573	4
w703	t334518	3
w934	t242778	3
w1076	t169207	3
w1190	t167421	5
w49	t111881	4
w1125	t244913	3
w413	t339632	3
w158	t293075	4
w703	t134739	4
w208	t218054	2
w43	t259035	3
w570	t138858	1
w35	t316891	4
w477	t152723	4
w435	t213833	3
w875	t42356	4
w247	t293487	3
w136	t258635	4
w959	t216088	3
w1044	t344592	3
w965	t75498	3
w618	t16915	4
w690	t296818	5
w228	t124601	5
w703	t243979	3
w309	t349405	5
w1028	t259594	4
w268	t281375	3
w572	t135432	3
w618	t264854	3
w959	t58493	5
w1098	t143294	5
w87	t200909	5
w1145	t334444	4
w1184	t46459	5
w641	t31412	5
w1	t105054	3
w610	t235151	5
w127	t134402	4
w255	t95264	3
w690	t44813	5
w466	t329072	5
w367	t133307	3
w226	t341753	5
w815	t177304	3
w420	t27091	4
w529	t105752	3
w899	t137085	4
w886	t170589	5
w730	t168851	4
w1032	t261337	5
w578	t2987	3
w323	t292034	3
w588	t283001	3
w794	t36069	3
w1209	t75380	5
w1189	t316992	5
w1169	t57740	3
w1267	t91265	3
w491	t232306	3
w736	t84428	4
w79	t54780	5
w873	t291895	4
w362	t306675	3
w604	t314373	3
w588	t192827	5
w145	t150907	4
w172	t278631	3
w153	t360524	5
w1097	t117519	3
w690	t25018	1
w426	t244390	5
w91	t118986	5
w1212	t272231	5
w207	t147936	4
w185	t5521	4
w420	t281934	5
w496	t169745	5
w1165	t195858	3
w49	t238081	5
w91	t52816	3
w1040	t147949	4
w1240	t47710	3
w3	t318412	5
w88	t280115	3
w49	t68230	4
w524	t280589	5
w1083	t16699	3
w309	t352486	5
w572	t174811	4
w477	t145825	3
w786	t314374	5
w89	t16027	3
w49	t321191	3
w604	t193048	1
w1032	t34949	5
w1196	t37950	3
w412	t256781	5
w805	t88085	3
w1174	t293183	1
w15	t225995	5
w244	t202316	5
w481	t1975	5
w814	t146525	4
w217	t183537	5
w849	t274487	5
w1257	t260095	5
w413	t330776	4
w158	t327245	5
w100	t97958	5
w285	t295563	5
w604	t158955	2
w524	t170537	5
w737	t130763	4
w968	t208618	3
w815	t73959	3
w1004	t49209	5
w1172	t306324	5
w559	t241036	5
w1142	t168351	4
w703	t216445	1
w284	t88173	4
w711	t362119	5
w579	t324234	5
w954	t32432	3
w43	t207522	5
w707	t338638	4
w207	t216638	5
w697	t266939	5
w66	t349546	5
w572	t298283	5
w826	t85151	1
w876	t270822	4
w1240	t297900	5
w15	t271496	5
w94	t26693	4
w74	t156310	3
w1172	t353033	3
w439	t36229	3
w799	t94710	5
w1184	t93602	3
w1189	t258950	3
w846	t168122	3
w477	t249207	3
w786	t248072	5
w993	t250326	3
w1041	t201791	5
w769	t8687	4
w107	t222317	3
w899	t64906	5
w524	t199427	5
w826	t119281	5
w154	t217606	5
w439	t105302	5
w1162	t263478	5
w1077	t126379	4
w1092	t201607	5
w1146	t342931	5
w1162	t224685	5
w496	t143664	5
w813	t180592	3
w225	t180031	4
w514	t75961	5
w633	t24308	4
w1040	t169448	5
w528	t353664	3
w49	t119422	3
w690	t227851	3
w226	t253256	5
w862	t96822	3
w997	t185533	1
w360	t167391	5
w1018	t9964	4
w79	t306995	4
w1111	t60105	3
w343	t142880	3
w466	t292984	4
w441	t359741	5
w87	t168987	5
w363	t145070	5
w491	t1927	1
w158	t170235	3
w509	t170250	5
w684	t122082	3
w511	t256565	5
w228	t312338	5
w952	t69215	3
w581	t267883	5
w703	t204089	3
w959	t262165	3
w565	t273868	4
w43	t347552	5
w1018	t124865	5
w413	t339471	5
w127	t195963	3
w886	t204795	5
w897	t157718	4
w200	t289196	4
w1239	t110728	3
w628	t352571	3
w355	t158367	5
w355	t260783	5
w641	t152081	1
w818	t169855	5
w327	t304149	3
w1239	t357402	3
w965	t208915	3
w24	t325557	1
w1162	t354925	3
w1178	t258051	5
w49	t11986	5
w765	t190257	4
w604	t363708	5
w1024	t58905	3
w272	t133925	3
w736	t308915	3
w226	t80667	3
w985	t166643	4
w815	t295261	3
w955	t208955	3
w1222	t195070	4
w433	t328338	3
w263	t247827	3
w807	t46138	3
w979	t210187	4
w491	t94022	3
w566	t111275	5
w1209	t116934	3
w49	t161417	5
w265	t320174	3
w739	t85868	3
w66	t331057	3
